test_name,category,py2_time,py2_std,py2_success,py3_time,py3_std,py3_success,speedup,faster
M1_PolygonToRaster,mixed,0.8909500999999995,0,True,0.6943276000001788,0,True,1.2831840474147507,Python 3.x
M2_RasterToPoint,mixed,13.8438895,0,True,9.491787699998895,0,True,1.4585123411474543,Python 3.x
R1_CreateConstantRaster,raster,0.13902709999999985,0,True,1.1947452000003977,0,True,0.11636548110840166,Python 2.7
R2_Resample,raster,0.22504230000000014,0,True,0.40959099999963655,0,True,0.549431750209843,Python 2.7
R3_Clip,raster,0.2876033000000007,0,True,0.28779469999972207,0,True,0.9993349425833012,Equal
R4_RasterCalculator,raster,0.4234636999999992,0,True,0.48635920000015176,0,True,0.8706809699495087,Python 2.7
V1_CreateFishnet,vector,0.5694907,0,True,0.7304526999996597,0,True,0.7796407625028497,Python 2.7
V2_CreateRandomPoints,vector,0.08296680000000012,0,True,0.12999130000025616,0,True,0.6382488674229477,Python 2.7
V3_Buffer,vector,0.16867100000000002,0,True,0.2562216999995144,0,True,0.6583009948037957,Python 2.7
V4_Intersect,vector,0.35460550000000035,0,True,0.28271329999915906,0,True,1.2542936607547475,Python 3.x
V5_SpatialJoin,vector,1.2703439000000003,0,True,1.4753959999998187,0,True,0.8610189399999433,Python 2.7
V6_CalculateField,vector,1.1531797,0,True,1.0486614999990707,0,True,1.099668196077592,Python 3.x
